"ALT","year"
0.510675283161521,1997
0.526306387533201,1998
0.469828985300855,1999
0.507150481997141,2000
0.533072589823655,2001
0.517586414807463,2002
0.523799986470951,2003
0.491737535405697,2004
0.549905118294382,2005
0.558601745281223,2006
0.598220136233647,2007
0.569005034148593,2008
0.556489292633665,2009
0.554049390193495,2010
0.604852805281451,2011
0.619185149134474,2012
0.572081743727573,2013
0.566140524357994,2014
0.597444543019867,2015
0.670714928587277,2016
0.594175093545384,2017
0.62221062878531,2018
0.683781078385067,2019
